Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Indulge in the delicious taste of Bacala Rico Salted Pollock Fillets. These pollock fillets are salted to perfection, giving them a rich and savory flavor that will leave your taste buds wanting more. Pollock is a mild-tasting fish that is low in fat and high in protein, making it a healthy addition to your diet. The Bacala Rico brand is a trusted source of seafood products, known for their commitment to quality and sustainability. You can find these fillets on Instacart, available for same-day delivery or pickup from your local store. Enjoy these mouth-watering pollock fillets as part of your next meal — you—and your family—will love them!","When you want a taste of the ocean, Jolly Roger Fresh Pacific Oysters are a must-try. The meaty and briny flavor is perfect for seafood lovers and those new to oysters alike. Each oyster is carefully harvested from the icy waters of the Pacific Northwest, ensuring quality and freshness in every bite. Oysters are also packed with healthy nutrients such as vitamin B12, zinc, and omega-3 fatty acids. Enjoy them raw or cooked to your liking, and savor the taste of the sea. With Instacart's same-day delivery or pickup, you can easily bring home these delicious oysters without leaving your house.",Milk Free,"For a delicious and easy meal, try Handy Pasteurized Crab Cake Combo Crab Meat. This 8 oz container of frozen crab meat is perfect for making savory crab cakes or adding to salads and sandwiches. With 11 grams of protein per serving and zero carbohydrates, this crab meat is the perfect choice for anyone looking to maintain a healthy diet. Plus, it's pasteurized and free from shells, making preparation a breeze. Simply keep refrigerated until ready to use. Instacart offers same-day delivery or pickup so you can enjoy fresh seafood without ever leaving your home.","Nothing beats the convenience of having restaurant-quality shrimp at home. Censea Peeled & Deveined Shrimp is a delicious and healthy addition to your meals—packed with 15g of protein and only 70 calories per serving, it’s perfect for those on a low-calorie diet. This peeled and deveined shrimp is gluten-free and contains only two ingredients: shrimp and salt. With Instacart's same-day delivery or pickup, you can enjoy this high-quality seafood in no time. Impress your family with mouth-watering shrimp scampi or add it to your favorite salad for a burst of flavor. You—and your taste buds—will thank you!","Savor the delicate flavor of Sea Best Flounder fillets, now available on Instacart for same-day delivery or pickup. These fillets are easy to prepare, and their mild taste pairs well with a variety of seasonings and sauces. To cook them, simply place them in a lightly oiled baking dish and bake at 425 degrees F for 6 to 10 minutes per inch of thickness or pan fry for a golden-brown finish. This seafood delicacy comes with convenient thawing directions and contains no bones after cooking. Plus, with only two simple ingredients: flounder and sodium tripolyphosphate, you can enjoy a tasty meal without any added fillers or preservatives."
"Waterfront Bistro Mussels, in Natural Juices",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_216bceb7-b2df-4104-8f00-a0c9173fcd5b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b5204835-019e-46c6-ab77-49624fcf5aa3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_88f0d693-0686-4a8b-963c-811aed142651.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5a2f6396-d672-4210-adc7-7cf1582fcb8d.png 4x",,,,Mussels (mytilus Chilensis).,"Heating Instructions: All appliances vary in performance and these instructions are guidelines only. Unopened or partially open mussels are safe to eat. Some may not open due to a strong adductor muscle. Stovetop: Empty contents of pouch into a saucepan and cover. Heat on high for 3-4 minutes. Reduce heat and simmer for 3 minutes, stirring occasionally. Carefully remove as product will be hot. Microwave: Place pouch on a microwaveable plate, pierce upper side and heat on high for 5-6 minutes. Allow to stand for 1 minute. Remove with care as product will be hot. Mix and serve.,Perishable. Keep frozen. Do not refreeze. Do not refreeze once thawed.",,,,,,,
"WATERFRONT BISTRO Salmon, Wild Alaskan Sockeye, Smoked",,$9.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a7f08129-651e-4c4f-9ec6-6087780b3601.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_58d5c506-a2c7-4686-85f1-7200f87355b9.png 4x",,,"Per 2 oz Serving: 80 calories; 1 g sat fat (5% DV); 560 mg sodium (24% DV); 0 g total sugars. 400 mg of omega-3 fatty acids per 2 oz serving. No artificial preservatives. Hardwood smoked. Ready to eat. Perishable. Our Commitment to Sustainability: We are committed to provide premium, restaurant-quality seafood that is sourced in accordance with our responsible seafood policy. Our carefully selected seafood is either certified or rated by leading third-party sources that share our standards for environmental and social responsibility, traceability, and food safety. Our wild Alaskan sockeye salmon boasts a rich, smoky flavor and firm texture. Thinly sliced and cold smoked, this savory salmon is perfect for bagels or simply scrambled into eggs. 100% money back guaranteed. Quality & satisfaction. Scan for more information. Responsible Choice. Product of Germany. Wild-caught in Alaska.","Wild Alaskan Sockeye Salmon (oncorhynchus Nerka), Salt, Smoke From Beechwood.","Keep refrigerated at 38 degrees F or below.,Use within 4 days of opening.",Contains: fish (salmon). May contain bones.,,,,,,
"Echo Falls Caviar, Wild Salmon",,$14.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_74dd0651-e6b4-401d-a182-4761720e69d2.jpeg 4x,,,"Echo Falls® Caviar Wild Salmon.,Net Wt 2 oz (57 g).","Onum Salmon Roe, Salt.",Keep refrigerated at 38 degrees F or colder.,,,,,,,
Bacala Rico Salted Pollock Fillets,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c86f35b-b70e-4995-972a-8b9563dd4ebd.jpg 4x,,,,,,,,,,,,
"Waterfront Bistro Salmon, Nova Atlantic, Smoked",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_563033bb-a0f5-4093-9af8-2ab6989d44db.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9b060c61-592a-4d07-b3f1-5176db280a34.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_90f53c6b-ade1-40e2-b601-82f87bce8aee.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2a8e1e42-2d18-41f9-be21-9c010eadbcd0.png 4x",,,"Per 2 oz Serving: 120 calories; 1 g sat fat (5% DV); 450 mg sodium (19% DV); 0 g total sugars. 1 g of omega-3 fatty acids per 2 oz serving. Ready to Eat. Hardwood smoked. Our hot smoked Atlantic Salmon is raised in the deep, pristine Fjords of Norway - near the Arctic Circle. Rich and delicious, it's a natural source of omega 3's. This hardwood-smoked salmon is bursting with flavor. Serve by itself, or flake over pasta and rice dishes. No artificial preservatives. No antibiotics. 100% money back guaranteed. Quality & satisfaction. Scan for more information. Responsible Choice. Our Commitment to Sustainability: We are committed to providing premium, restaurant-quality seafood that is sourced in accordance with our Responsible Seafood Policy. Our carefully selected seafood is either certified or rated by leading third-party sources that share our standards for environmental and social responsibility, traceability, and food safety. Product of Germany. Farm raised in Norway.","Atlantic Salmon (salmo Salar) (color Added), Salt, Smoke From Hardwood.","Perishable. Keep refrigerated at 38 degrees F or below.,Use within 4 days of opening.",Contains: fish (salmon). May contain bones.,,,,,,
Jolly Roger Fresh Pacific Oysters,,$9.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_763ad94f-08a4-4832-b002-2b6f98b5e5ad.jpeg 4x,,,,,,,,,,,,
Acme Smoked Fish Nova Smoked Salmon,,$21.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d59dfc1a-b51e-4045-b819-72897e1922fc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_510305e2-e034-4f48-bd07-4999beecde58.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_af897968-0f13-4e20-af40-099c8175180f.png 4x",,,"Acme's premium crafted Nova is your quintessential smoked salmon: rich, silky, and the slightest bit smoky. The definition of simple pleasure. But somehow, even better.","Atlantic Salmon, Salt, Celery Powder",Store below 38 degrees Fahrenheit,May contain bones,,,,,,
"Phillips Crab, Special",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a1e83476-5fca-4722-bd00-c0ef924b1f8c.jpg 4x,,,"Ready to eat, fully cooked. We select only the finest crabs that meet the standards Phillips has set for seafood excellence. This hand-picked crab meat is virtually shell-free. Wild caught. Pasteurized crab. www.phillipsfoods.com. Comments & questions 1-888-234-Crab, M-F 9-5 pm EST. NFI Crab Council: Committed to sustainability. Product of Indonesia.","Crab Meat, Sodium Acid Pyrophosphate (to Prevent The Formation Of Struvite Crystals)","Keep refrigerated. Perishable must be kept refrigerated.,Discard container after use.,Use immediately when opened.",,,,,,,
"Trans-Ocean Imitation Crab, Crab Classic, Leg Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_397467b4-6d33-43e5-87f3-7262beab95c0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_97352b71-34dd-4351-8ad4-ea244187ad7a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_42a65cfb-cf19-4eef-8874-01bec24e6009.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a8146ba1-6c57-4000-a769-61f5e7a9492f.png 4x",,,Fully cooked & ready-to-eat. MSC Certified sustainable seafood. www.msc.org. This seafood has met the MSC's global standard for sustainability. www.msc.org.,"Alaska Pollock (msc Certified), Water, Egg Whites, Corn Starch, Sugar, Sorbitol, Contains 2% Or Less Of: King Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* Alaska Pollock), Rice Wine (water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added.","Crab Classic w/ Dipping Sauce: 14 oz. crab classic legs; green leaf or romaine lettuce; 1 jar cocktail sauce; Arrange lettuce leaves on plate and top with crab legs. Serve with chilled cocktail sauce. makes 2-3 servings. More recipes, at www.trans-ocean.com or scan here. Heart-Check Food Certification does not apply to recipes unless expressly stated.,Enjoy in seafood salads, hot dishes & snacks.,Must be kept refrigerated to maintain safety.,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date, and kept frozen for up to 9 months.","Contains: fish (alaska pollock), crustacean shellfish (king crab, blue crab, snow crab, lobster), egg.",,,,,,
"Honey Smoked Fish Co Honey Smoked Salmon, Hot Honey",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_802f79d2-ec38-4210-b2b4-f82e42a5b73b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_137e565e-527d-44e6-8bea-2cfdc623224d.png 4x",,,,"Atlantic Salmon, Water, Salt, Turbinado Sugar, Honey, Honey Flavor, Brown Sugar, Red Pepper, Herbs & Spices, Dehydrated Garlic & Onion, Extractives Of Spice & Paprika, Sea Salt, Rice Hulls, Onion, Garlic, Citric Acid, Color Added Through Feed.","Use within 5 days of opening. Can be frozen up to 12 months. Defrost in refrigerator 24 hours prior to use. Despite careful processing, fish may contain small bones. For best flavor, remove from refrigerator and package 25 minutes prior to serving. If you prefer your salmon warm, flake on top of the dish you are preparing like pizza or pasta.,Keep refrigerated at or below 38 degrees F.",Contains fish (salmon),,,,,,
"WATERFRONT BISTRO Salmon, Nova Atlantic, Smoked",$6.89,$8.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d8e8887c-0fc8-4e17-b438-6d52ef48ba78.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_db5e6f97-ff91-44d2-bd59-5a1f1fe5172d.png 4x",,,"Per 2 oz Serving: 110 calories; 1 g sat fat (5% DV); 560 mg sodium (24% DV); 0 g total sugars. 1 g of omega-3 fatty acids per 2 oz serving. No artificial preservatives. No antibiotics. Hardwood smoked. Ready to eat. Perishable. Our Commitment to Sustainability: We are committed to providing premium, restaurant-quality seafood that is sourced in accordance with our Responsible Seafood Policy. Our carefully selected seafood is either certified or rated by leading third-party sources that share our standards for environmental and social responsibility, traceability, and food safety. Our cold smoked Atlantic Salmon is raised in the deep, pristine Fjords of Norway-near the Arctic Circle. Rich and delicious, it's a natural source of omega 3's. Savory beechwood smoke gives this sliced salmon a delicate flavor and texture. 100% money back guaranteed. Quality & satisfaction. Scan for more information. Responsible Choice. Product of Germany. Farm raised in Norway.","Atlantic Salmon (salmo Salar) (color Added), Salt, Smoke From Hardwood.","Keep refrigerated at 38 degrees F or below.,Use within 4 days of opening.",Contains: fish (salmon). May contain bones.,,,,,,
"Echo Falls Tuna, Yellowfin, Smoked, Black & White Sesame",,$8.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9925e7e1-d75c-47e7-8a2e-742e708410cf.jpeg 4x,,,,"Smoked Tuna, Salt, Sesame Seeds, Sesame Oil, Beetroot Powder, Ascorbic Acid, and Celery Salt (Salt and Celery Seeds).","Serving Suggestions: Make a Nicoise salad by layering yellowfin tuna slices over fresh greens and roasted veggies, and complete with a mustard dill vinaigrette. Pair thin slices of tuna with soy sauce, wasabi, and pickled ginger for a Japanese-inspired plate.,Important: Must be kept refrigerated at or below 38 degrees F. For best quality enjoy by date marked on package. Use within 4 days after opening.,For best quality enjoy by date marked on package. Use within 7 days after opening.","Contains: fish (tuna) and sesame., May contain bones.",,,,,,
"Ducktrap River of Maine Spruce Point Atlantic Salmon, Pepper & Garlic",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ca64ee6-c52b-4c7a-b345-bf2ed5f62302.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2da858ec-7e67-4b6e-ab1c-2eb643959c00.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3c15f2f4-3d44-4295-bb48-de40d8f4d010.png 4x",,,"Spruce Point cracked pepper and garlic salmon is created from Atlantic Salmon fillets & proudly smoked in Maine by Ducktrap River of Maine. Fillets are lightly trimmed and cold smoked in small batches with a unique recipe blend of maple, oak, cherry, and apple woods. A spice blend of cracked black pepper and garlic is hand-applied to create this savory delicacy. This smoked salmon is thinly sliced, skin is removed.","ATLANTIC SALMON (SALMO SALAR) (color added through feed), SALT, BLACK PEPPER, DEHYDRATED GARLIC, CANE SUGAR AND DILL. CONTAINS: SALMON (FISH).","Suggestions for Serving: Ducktrap smoked salmon is a convenient everyday meal solution. Breakfast: omelet, bagel and cream cheese (2 - 3 slices). Lunch: sandwich, wrap (4 - 5 slices). Dinner: salad, pasta, sushi (4 -5 slices). Appetizer / Snack: multigrain cracker, cucumber bites (2 - 3 slices). For maximum flavor, allow smoked salmon to remain at room temperature for 30 minutes prior to serving.,Keep refrigerated at 38 degrees F (3 degrees C) or less. Proper Storage: Ducktrap smoked salmon is required to be kept refrigerated at 38 degrees F or less when not being served. Consume before the Use By date. Once opened, store unused portions well wrapped in the refrigerator and eat within 4 days. Unopened, this package can be stored in the freezer for 3 months.,Use within four days of opening.",Contains: fish (salmon),,,,,,
"Vita Classic Nova Salmon, Atlantic, Premium, Sliced Smoked",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c0436404-eb05-4cf0-856b-e823e5598f43.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cd065bea-8bce-428e-ba6a-fcf0a78a4536.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56f3c7db-0007-4347-962f-0aceeccdd96f.png 4x",,,"Providing quality seafood since 1898. Enjoy the premium mild flavor of Vita Classic's delicately smoked nova salmon. Sliced for your convenience. We've included one of our favorite recipe suggestions.,• Certified Gluten-free.,• Kosher","Salmon (color Added With Feed), Salt, Sodium Nitrite (preservative), Hardwood Smoke","Directions: 1. Toast the slices of bread then set aside to let cool. Spread 1 tbsp of thousand island dressing onto 4 slices of bread, place one leaf of romaine onto each of those 4 slices. 2. Layer 1 oz of ham and 1 oz of turkey on top of the lettuce. 3. Place the second slice of bread onto the lunch meat and spread 1 tbsp of dressing onto that slice. 4. next, place 2 thin slices of tomato, and 1 oz of bacon onto the second slice, and top with 1 oz vita classic smoked nova salmon. 5. Finally, top with third slice of bread, and cut sandwich into fours on the diagonal. Use toothpicks to keep sandwich together.,Keep frozen or refrigerated at 38 degrees F or below. If frozen, thaw under refrigeration.",Contains: salmon,,,,,,
"LASCco Salmon, Nova, Smoked Atlantic",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a6f0a72e-bc66-4247-bb12-3dc5464cfe07.png 4x,,,Delicately cured. Hardwood smoked. Since 1921. Party platter sliced and ready to enjoy. Fancy original grade. www.oceanbeauty.com. Product of Chile.,"Atlantic Salmon (color Added), Salt, Sugar, Sodium Benzoate, Sodium Erythorbate, Sodium Nitrite, (added As Preservatives), Natural Hardwood Smoke.",Serving Suggestions: Whip up with cream cheese and herbs. Wrap around fresh fruits or blanched vegetables. Use on a bagel or in canapes. Great in Spanish egg tortillas. Perfect as a salad topper. Keep refrigerated (at) 38 degrees F or below.,Contains fish (salmon),,,,,,
Honey Smoked Fish Co Sweet Bourbon Honey Smoked Salmon,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3267996b-01f3-4bf6-b74e-f658adec3824.png 4x,,,"Ready-to-eat straight outta’ the bag! Honey Smoked Salmon® is fresh, never frozen – meaning our sustainably sourced salmon is ready to enjoy within days after being caught. Food this nutritious isn’t supposed to be crazy flavorful; any kale or broccoli fans? Swimming in good-for-you stuff like Omega-3’s, protein, and Vitamin D, you can feel good about adding Honey Smoked Salmon® to any meal or snack. We’re not one to share our secrets, but we’ll let you in on one – it’s our small batch smoking process that really seals the deal. After marinating for 90 minutes, our salmon spends a toasty five hours smoking over hardwood hickory chips locking in our signature Honey Smoked flavor. All that sound good? We think so too. That’s why we’re passionate about our Honey Smoked Salmon®. Try it once, and you’ll be hooked! Pun intended.","Atlantic Salmon, Water, Salt, Honey, Seasoning [Sugar, Salt, Maltodextrin, Modified Food Starch, Hydrolyzed Corn Protein, Spices, Worcestershire Sauce Powder (Distilled Vinegar, Molasses, Corn Syrup, Salt, Caramel Color, Garlic Powder, Sugar, Spice, Tamarind, Natural Flavor. Contains Sulfites), Dehydrated Garlic, Dehydrated Onion, Bourbon Flavor (Acacia Gum, Sugar, Natural Flavor), Yeast Extract, Distilled White Vinegar Powder, Caramel Color], Herbs & Spices, Citric Acid, Garlic, and Onion. Color added through feed.",,Contains Fish (Salmon),,,,,,
