Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Egg Free,Soy Free,Peanut Free,Treenut Free,Shellfish Free,Wheat Free,Milk Free
Chobani Low Fat Key Lime Greek Yogurt,$1.67,$1.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b8ec5b91-5a2a-4c15-b5a5-7ed58367e5b5.png 4x,Gluten Free,,"www.chobani.com 1-877-847-6181 Tear off label and recycle cup.,• Gluten-free,• Kosher-certified,• Vegetarian-friendly,• Only natural non-GMO ingredients,• No artificial flavors or preservatives","Cultured Lowfat Milk, Cane Sugar, Water, Key Lime Puree, Fruit Pectin, Spirulina And Turmeric (for Color), Key Lime Juice Concentrate, Natural Flavors, Locust Bean Gum, Lemon Juice Concentrate",Keep refrigerated.,,,,,,,,
Daisy 4% Cottage Cheese,$4.79,$5.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6f555f76-c5d0-42e4-b814-57c169845fef.png 4x,,,"Discover why Daisy is America’s #1 cottage cheese. Protein packed and specially made with only 3 ingredients, and live and active cultures, to deliver that fresh and creamy taste in every bite. There's a reason why only Daisy cottage cheese will do!Daisy's classic, rich and creamy taste defines cottage cheese as it should be. A healthy and filling choice any time of the day, eaten straight out of the tub, or paired with your favorite fresh fruits and vegetables. Sprinkle with granola and top with berries for a tasty treat, or toss with fresh avocado and tomato with a dash of fresh-ground black pepper for a more savory snack. Enjoy creamy and delightfully delicious Daisy Cottage Cheese and discover why only Daisy Cottage Cheese will do!,• Protein Packed,• Only 3 ingredients: cultured skim milk, cream, and salt,• Contains live and active cultures,• Low carb and low sugar,• Pure & Natural,• rBST Free,• Grade A milk,• Kosher","Cultured Skim Milk, Cream, Salt.",Keep refrigerated. Do not freeze.,Contains milk,,,,,,,
Philadelphia Garden Vegetable Cream Cheese Spread,,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37bf337f-a37b-46db-826e-8559c7ac6ba5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_36044fdc-e34e-482d-b0e6-59264596e643.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_958571f7-4a39-4517-b817-263432a14c78.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_28869b88-ff71-4453-abb8-74c60c7155e3.jpg 4x",,,"Dive into immersive pleasure with Philadelphia Garden Vegetable Cream Cheese Spread. Made with fresh milk, real cream, cucumbers, red bell peppers, green bell peppers and carrots for an extra creamy, multi-dimensional taste you can add to any meal. At Philly, we leave out the artificial preservatives, flavors and dyes to ensure a rich, quality flavor. Our garden vegetable cream cheese spread is easy to spread, making it the perfect choice for adding to your morning bagel, topping crackers or using as an ingredient in your favorite homemade dip recipe. Keep our 7.5 ounce resealable container of cream cheese spread refrigerated. With Philadelphia Cream Cheese Spread, enjoy a rich, creamy experience you don't just taste, you feel.,• One 7.5 oz tub of Philadelphia Garden Vegetable Cream Cheese Spread,• Dive into immersive pleasure with our garden vegetable cream cheese spread made with cucumbers, red bell peppers, green bell peppers and carrots,• Our garden vegetable cream cheese spread is made with fresh milk and real cream for multi-dimensional flavor,• Philadelphia stays charmingly real with no artificial preservatives, flavors or dyes,• Easy to spread veggie cream cheese spread creates smooth satisfaction,• Creamy and delicious, Philly cream cheese is perfect to spread on bagels or enjoy with any of your favorite breakfast foods,• Packaged in a resealable tub,• Kosher,• SNAP & EBT eligible food item","Pasteurized Milk And Cream, Whey Protein Concentrate, Whey, Onions, Salt, Carrots, Green Bell Peppers, Carob Bean Gum, Cucumbers, Red Bell Peppers, Green Bell Peppers*, Red Bell Peppers*, Carrots*, Natural Flavor (contains Celery), Xanthan Gum, Natamycin (a Natural Mold Inhibitor), Vitamin A Palmitate, Cheese Culture.","Keep Refrigerated.,Use Within 10 Days Of Opening.",Contains: milk.,,,,,,,
Yoplait Original Strawberry Flavored Smooth Style Low Fat Yogurt Tub,,$4.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_417761c0-cc83-43d1-b469-03fb7b6242e6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48df851d-706b-40cb-a014-97a2cec91f0d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_adf69ff7-d262-42df-b325-578af6f408c1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c2609b6-6820-4e74-b359-784b2384f1d8.png 4x",Gluten Free,,"Savor Yoplait Original Smooth Style Strawberry Flavored Low Fat Yogurt as a delicious addition to an easy breakfast or snack! Made with live and active yogurt cultures, there are no colors from artificial sources and no high fructose corn syrup. Each serving in this yogurt tub contains vitamins A and D, and is gluten free. Enjoy the yogurt plain, pair it with granola, or blend into a refreshing strawberry flavored yogurt smoothie or dip for fresh fruit. Make it a tasty alternative to Greek yogurt. Reach for some yogurt as a part of a quick breakfast. Or stock up as a snack for the family. Also try our other varieties, such as low fat French vanilla yogurt and low fat mixed berry yogurt. Store Yoplait Yogurt in the refrigerator and keep cold until you're ready to grab a spoon and enjoy. Yoplait brings goodness to everyday moments, one serving of yum at a time.,• SMOOTH STYLE: Smooth and creamy strawberry flavored yogurt made with live and active cultures; No colors from artificial sources or high fructose corn syrup,• LOW FAT YOGURT: Gluten free, our low fat yogurt contains vitamins A and D; Enjoy the yogurt plain, with fruit, or topped with granola,• YOGURT TUB: Low fat yogurt with 150 calories per serving, and about five servings per yogurt tub,• MORNING OR SNACK TIME: Enjoy yogurt as a quick breakfast food, afternoon snack, or as a kids snack; Liven up snacking with the taste of our Yoplait Yogurt as an alternative to plain Greek yogurt or kefir,• CONTAINS: One 32 oz yogurt tub of Yoplait Original Smooth Style Strawberry Flavored Low Fat Yogurt","Cultured Grade A Low Fat Milk, Sugar, Modified Corn Starch. Contains 1% Or Less Of: Corn Starch, Citric Acid, Vegetable Juice (for Color), Natural Flavor, Potassium Sorbate Added To Maintain Freshness, Vitamin A Acetate, Vitamin D3.","More ways to enjoy Yoplait. Smoothie: Blend yogurt, fresh or frozen fruit, and milk or juice for a refreshing drink. Dip: Combine 1/4 cup cream cheese, 1 cup yogurt and 1/2 teaspoon ground cinnamon. Serve with apple slices or any fresh fruit.,Keep refrigerated.",Contains Milk Ingredients.,,,,,,,
Yoplait Original Low Fat Mountain Blueberry Yogurt Cup,,$1.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7abeecd-4120-4734-8787-d589a378b27b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_daec8111-a567-4f01-a13f-f35a5d5dafc5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e6d9afd0-d282-4079-b7ab-fcf1c9bb7924.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51a90938-8b9c-45ff-9818-dc4a27155b48.png 4x",Gluten Free,,"Savor Yoplait Original Mountain Blueberry Low Fat Yogurt as a delicious addition to an easy breakfast or snack! Made with real fruit, plus live and active yogurt cultures, there are no artificial flavors or colors from artificial sources, and no high fructose corn syrup. Each serving contains vitamins A and D, is a good source of calcium, and is gluten free. Enjoy the yogurt plain, pair it with granola, or blend into a refreshing blueberry yogurt smoothie. Make it a tasty alternative to Greek yogurt. Grab a convenient yogurt cup as a part of breakfast to go. Or stock up for quick snacks for the family. Also try our other Yoplait Yogurt varieties, such as low fat French vanilla yogurt and low fat mixed berry yogurt. Yoplait brings goodness to everyday moments, one serving of yum at a time.,• CREAMY AND DELICIOUS: Smooth and creamy mountain blueberry yogurt made with live and active cultures and real fruit; No artificial flavors or colors from artificial sources, and no high fructose corn syrup,• LOW FAT YOGURT: Gluten free, our low fat yogurt contains vitamins A and D and is a good source of calcium; Enjoy the yogurt plain or topped with granola,• YOGURT CUP: Single serve low fat yogurt cup with 140 calories per serving; Explore other varieties such as low fat French vanilla yogurt and low fat mixed berry yogurt,• MORNING OR SNACK TIME: Enjoy yogurt as a quick breakfast food, afternoon snack, or packed in a lunch box as a kids snack; Liven up snacking with the taste of our Yoplait Yogurt as an alternative to plain Greek yogurt or kefir,• CONTAINS: One 6 oz yogurt cup of Yoplait Original Mountain Blueberry Low Fat Yogurt","Cultured Grade A Low Fat Milk, Sugar, Blueberries, Water, Modified Food Starch, Contains 1% Or Less Of: Corn Starch, Tricalcium Phosphate, Pectin, Natural Flavor, Kosher Gelatin, Vitamin A Acetate, Vitamin D₃",Keep refrigerated.,Contains Milk Ingredients.,,,,,,,
Reddi-wip Original Whipped Topping Made with Real Cream,$8.69,$9.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c9c173b-8fbf-4c7e-bd29-a1f2bd2dabc7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_06cc56ba-9432-436c-a3f0-d76e1fee2b5a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c2aa5b8-57bd-4a0f-8dc2-2d07e265a7cc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b7028ce-6268-475a-9b65-0497778969ac.jpg 4x",Gluten Free,,"Enjoy a versatile dessert topping that serves up rich and creamy taste with Reddi-wip Original Whipped Topping. This delicious dairy whipped topping can offers a classic texture and dairy flavor you know and love. Trust us, after just one whoosh, you won't miss the other whipped cream products you were using before. Made with real cream, this gluten free whipped topping for fruit, desserts and more is made with no artificial flavors or artificial sweeteners. It's also keto friendly (0g of protein, 1g net carbs [1g total carbs minus 0g dietary fiber], and 1g added sugar per serving) and fits a low carb lifestyle (1g net carbs per serving [1g total carbs minus 0g dietary fiber]). Reddi-wip can transform any moment. Unleash the joy.","Cream, Water, Sugar, Corn Syrup, Nonfat Milk, Less Than 2% Of: Tapioca Maltodextrin, Mono- And Diglycerides, Carrageenan, Natural Flavor. Propellant: Nitrous Oxide.","Directions: For best results: 1. Shake well 4 times before use then remove cap. 2. Turn can completely upside down & press nozzle sideways with finger. 3. Rinse nozzle thoroughly with warm water and replace in refrigerator.,Important: Must be kept refrigerated to maintain safety. Will stay freshest when stored at normal refrigerator temperatures of 35 degrees to 40 degrees F. Freezing is not recommended.,Sell by date printed on bottom of can.",Contains: milk.,,,,,,,
FAGE Fat Free Greek Style Yogurt,,$1.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f4acd379-d9b8-46b0-9881-0fb4afa7d057.png 4x,Gluten Free,,"All natural nonfat Greek strained yogurt. Pronounced: Fa-yeh! Milk produced without the use of rBST. The FDA has said no significant difference has been shown, and no test can now distinguish, between milk derived from rBST treated and untreated cows. Fage Total 0% Greek Strained Yogurt: All natural; milk from non-GMO fed cows.","Grade A Pasteurized Skimmed Milk, Live Active Yogurt Cultures (l. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei).","Keep refrigerated/Do not freeze.,Remove parchment paper on opening.,Use by date on lid.",Do not freeze.,,,,,,,
"Chobani Yogurt, Greek, Nonfat, Peach on the Bottom, Value 4 Pack",$6.89,$7.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1a907ea2-5c1c-403b-b851-740675550122.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f73dc74a-106f-4cd8-a7a3-576adea39c9a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a5787787-60c3-4368-9f97-a6014085172a.png 4x",Gluten Free,,The flavor of a peach belongs only to the peach. That's something special. And that's why we use real peaches— and real everything. Because there's something nice about something real.,"Cultured Nonfat Milk, Peaches, Cane Sugar, Water, Fruit Pectin, Natural Flavors, Guar Gum, Lemon Juice Concentrate, Locust Bean Gum",Keep refrigerated.,,,,,,,,
"Chobani Yogurt, Greek, Nonfat, Raspberry on the Bottom",$1.19,$1.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8a2bbe2c-42ab-4d9c-a27c-541f5b62ea69.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_31ca1ef4-d84c-458b-a27c-842fb9816211.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2ba69562-ad69-4003-a75a-d7b26f176a08.png 4x",Gluten Free,,"Chobani® Non-Fat Greek Yogurt Raspberry On The Bottom 0% Milk Fat.,Only natural ingredients.,Net Wt 5.3 oz (150 g).","Cultured Nonfat Milk, Water, Cane Sugar, Raspberry Puree, Raspberries, Fruit Pectin, Natural Flavors, Vegetable Juice (for Color), Guar Gum, Locust Bean Gum, Lemon Juice Concentrate",Keep refrigerated.,,,,,,,,
Chobani Original Oat Milk,$4.99,$5.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5808e440-7d1b-4bd9-a2be-d23e490a3097.png 4x,Gluten Free,,"Plant based oat milk. Drink it. Mix it. Pour it. Stir it. Oats good for you - and the planet. Grown with Less Water: Oats require less water to grow than almonds. Improves Soil Health: Oats are a cover crop, enriching the soil where they grow and protecting it from erosion. Diversifies Our Diets: While agricultural production is primarily corn, rice, and wheat, oats bring a welcome diversity to our diet. Creamy Like Milk: Oats give a rich and creamy texture like dairy milk - without the dairy. Packaged sustainably: Chobani Oat is packaged in a recyclable Sustainable Forestry Initiative - certified pulp carton. SFI: Certified Chain of Custody. Promoting sustainable forestry. www.sfiprogram.org.","Oat Blend (water, Whole Grain Oats), Contains 2% Or Less Of: Rapeseed Oil, Sea Salt, Vitamin A Palmitate, Vitamin D2 (yeast Extract), Calcium Carbonate, Gellan Gum, Dipotassium Phosphate.","Shake well.,Keep refrigerated. Do not freeze.",,,,,,,,
